날짜,월,요일,지점,강수량(mm)
2016-03-01,3,화,159,0
2016-03-02,3,수,159,0
2016-03-03,3,목,159,0
2016-03-04,3,금,159,35.7
2016-03-05,3,토,159,1.6
2016-03-06,3,일,159,32.7
2016-03-07,3,월,159,0
2016-03-08,3,화,159,6.6
2016-03-09,3,수,159,13.6
2016-03-10,3,목,159,0
2016-03-11,3,금,159,0
2016-03-12,3,토,159,0
2016-03-13,3,일,159,0
2016-03-14,3,월,159,0
2016-03-15,3,화,159,0
2016-03-16,3,수,159,0
2016-03-17,3,목,159,0
2016-03-18,3,금,159,38.7
2016-03-19,3,토,159,0
2016-03-20,3,일,159,0
2016-03-21,3,월,159,0
2016-03-22,3,화,159,0
2016-03-23,3,수,159,0
2016-03-24,3,목,159,0
2016-03-25,3,금,159,0
2016-03-26,3,토,159,4.6
2016-03-27,3,일,159,0
2016-03-28,3,월,159,0
2016-03-29,3,화,159,0
2016-03-30,3,수,159,0
2016-03-31,3,목,159,0
2016-04-01,4,금,159,0
2016-04-02,4,토,159,0
2016-04-03,4,일,159,0.9
2016-04-04,4,월,159,3.8
2016-04-05,4,화,159,0
2016-04-06,4,수,159,18.2
2016-04-07,4,목,159,47.4
2016-04-08,4,금,159,0
2016-04-09,4,토,159,0
2016-04-10,4,일,159,0
2016-04-11,4,월,159,0
2016-04-12,4,화,159,0
2016-04-13,4,수,159,14.8
2016-04-14,4,목,159,0
2016-04-15,4,금,159,0
2016-04-16,4,토,159,36.6
2016-04-17,4,일,159,8
2016-04-18,4,월,159,0
2016-04-19,4,화,159,0
2016-04-20,4,수,159,0
2016-04-21,4,목,159,31.8
2016-04-22,4,금,159,0
2016-04-23,4,토,159,0
2016-04-24,4,일,159,0
2016-04-25,4,월,159,0
2016-04-26,4,화,159,1.6
2016-04-27,4,수,159,32.1
2016-04-28,4,목,159,3.3
2016-04-29,4,금,159,0
2016-04-30,4,토,159,0
2016-05-01,5,일,159,0
2016-05-02,5,월,159,0
2016-05-03,5,화,159,40.7
2016-05-04,5,수,159,0
2016-05-05,5,목,159,0
2016-05-06,5,금,159,4.7
2016-05-07,5,토,159,0
2016-05-08,5,일,159,0
2016-05-09,5,월,159,0
2016-05-10,5,화,159,22.3
2016-05-11,5,수,159,0
2016-05-12,5,목,159,0
2016-05-13,5,금,159,0
2016-05-14,5,토,159,0
2016-05-15,5,일,159,0
2016-05-16,5,월,159,14.5
2016-05-17,5,화,159,0
2016-05-18,5,수,159,0
2016-05-19,5,목,159,0
2016-05-20,5,금,159,0
2016-05-21,5,토,159,0
2016-05-22,5,일,159,0
2016-05-23,5,월,159,0
2016-05-24,5,화,159,24.7
2016-05-25,5,수,159,0
2016-05-26,5,목,159,0
2016-05-27,5,금,159,0
2016-05-28,5,토,159,0
2016-05-29,5,일,159,1.9
2016-05-30,5,월,159,0
2016-05-31,5,화,159,0
2016-06-01,6,수,159,0
2016-06-02,6,목,159,0
2016-06-03,6,금,159,0
2016-06-04,6,토,159,6.6
2016-06-05,6,일,159,0
2016-06-06,6,월,159,3.1
2016-06-07,6,화,159,0
2016-06-08,6,수,159,0
2016-06-09,6,목,159,0
2016-06-10,6,금,159,0
2016-06-11,6,토,159,0
2016-06-12,6,일,159,8.6
2016-06-13,6,월,159,0
2016-06-14,6,화,159,0
2016-06-15,6,수,159,0
2016-06-16,6,목,159,1.5
2016-06-17,6,금,159,0
2016-06-18,6,토,159,2.8
2016-06-19,6,일,159,9.1
2016-06-20,6,월,159,10.2
2016-06-21,6,화,159,3.1
2016-06-22,6,수,159,13.4
2016-06-23,6,목,159,0
2016-06-24,6,금,159,53.7
2016-06-25,6,토,159,0
2016-06-26,6,일,159,0
2016-06-27,6,월,159,0.2
2016-06-28,6,화,159,0
2016-06-29,6,수,159,2.9
2016-06-30,6,목,159,0
2016-07-01,7,금,159,31.9
2016-07-02,7,토,159,44.4
2016-07-03,7,일,159,15.4
2016-07-04,7,월,159,63
2016-07-05,7,화,159,1
2016-07-06,7,수,159,0
2016-07-07,7,목,159,0.1
2016-07-08,7,금,159,0
2016-07-09,7,토,159,0
2016-07-10,7,일,159,0
2016-07-11,7,월,159,14.7
2016-07-12,7,화,159,6.3
2016-07-13,7,수,159,1.3
2016-07-14,7,목,159,0.1
2016-07-15,7,금,159,0
2016-07-16,7,토,159,9.8
2016-07-17,7,일,159,0
2016-07-18,7,월,159,0
2016-07-19,7,화,159,0
2016-07-20,7,수,159,0
2016-07-21,7,목,159,0
2016-07-22,7,금,159,0
2016-07-23,7,토,159,0
2016-07-24,7,일,159,0
2016-07-25,7,월,159,0.8
2016-07-26,7,화,159,0
2016-07-27,7,수,159,0
2016-07-28,7,목,159,0
2016-07-29,7,금,159,0
2016-07-30,7,토,159,0
2016-07-31,7,일,159,0
2016-08-01,8,월,159,5
2016-08-02,8,화,159,0.6
2016-08-03,8,수,159,0.4
2016-08-04,8,목,159,0
2016-08-05,8,금,159,0
2016-08-06,8,토,159,0
2016-08-07,8,일,159,0
2016-08-08,8,월,159,0
2016-08-09,8,화,159,0
2016-08-10,8,수,159,0
2016-08-11,8,목,159,0
2016-08-12,8,금,159,0
2016-08-13,8,토,159,0
2016-08-14,8,일,159,0
2016-08-15,8,월,159,53.8
2016-08-16,8,화,159,21.3
2016-08-17,8,수,159,0
2016-08-18,8,목,159,0
2016-08-19,8,금,159,0
